unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water_sewer,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
5387203966279261059,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-6167094557721282421,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2010-04-18T00:00:00.000,2010,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3251-$3500,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-258388693631160379,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2021-03-02T00:00:00.000,2021,One-Bedroom,One bathroom,751-1000 Sq.Ft,$2251-$2500,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
6015781140865568306,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1983-07-01T00:00:00.000,1983,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
4494183675876571907,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2018-05-21T00:00:00.000,2018,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$3001-$3250,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-6609110737651343957,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1975-07-16T00:00:00.000,1975,One-Bedroom,One bathroom,751-1000 Sq.Ft,$751-$1000,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-4032322734121517442,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1999-08-27T00:00:00.000,1999,One-Bedroom,One bathroom,751-1000 Sq.Ft,$1001-$1250,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-6402533628841539360,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,1992-09-01T00:00:00.000,1992,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,$1501-$1750,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
2008234952892500422,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
4268053023581518160,7335,386,Housing Inventory - Unit information (2023),2023,700 Block of GONZALEZ DR,Occupied by non-owner,2009-10-20T00:00:00.000,2009,One-Bedroom,One bathroom,751-1000 Sq.Ft,$2501-$2750,Y,N,N,Y,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.480598519 37.717515182),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
